cluster,person,org1,org2,location,organize,count,match,x,y
1,"1,9,14","12,19","37,1,19,12,24","14,78,98","12,19",2,0,-0.296129798,-0.000476643
2,"1,9,14","12,19","38,29,22,26,12,19,1","34,39,94","12,19",2,0,-0.359442095,0.045394271
3,"13,14,46","1,24,12","37,1,19,12,24","14,78,98","1,24,12",3,0,-0.277289363,-0.342647603
4,"13,14,46","1,24,12","38,29,22,26,12,19,1","34,39,94","1,12",2,0,-0.549616583,-0.184402454
5,"20,36,41,47,48","35,12","35,12","3,38,56,75","35,12",2,1,-0.236053945,-0.637244476
6,"6,8,10,42","8,19,2,44","8,19,2,44","28,41,44,59,60,79,90","8,19,2,44",4,1,0.393906648,0.106357696
7,"6,8,10,42","8,19,2,44","43,19,2,42","16,35,45,70,72,103","19,2",2,0,0.361337115,0.3587691
8,"6,8,10,42","8,19,2,44","33,2,11,17,24,19","41,74,90","19,2",2,0,0.496747111,0.137819809
9,"1,9,27,37","38,12","38,29,22,26,12,19,1","34,39,94","38,12",2,0,-0.451998095,-0.041607646
10,"29,31,33","9,12,2,25","9,12,2,25","54,62,73,74,87","9,12,2,25",4,1,0.314117813,-0.532313852
11,"1,16,28","20,19","46,19,20","15,84,98","20,19",2,0,-0.066433247,0.432653313
12,"14,28,45","0,19,24,37,30","37,1,19,12,24","14,78,98","19,24,37",3,0,0.04921048,-0.108761728
13,"14,28,45","0,19,24,37,30","0,37,30,19","15,33,98","0,19,37,30",4,0,0.236210691,0.101052846
14,"14,28,45","0,19,24,37,30","10,37,19,24","15,78,98","19,24,37",3,0,0.079926832,-0.017884938
15,"14,28,45","0,19,24,37,30","33,2,11,17,24,19","41,74,90","19,24",2,0,0.393651741,-0.056841365
16,"14,28,45","0,19,24,37,30","45,19,24,37","0,15,98","19,24,37",3,0,0.109729631,0.056686388
17,"24,39,40","27,19,18,14,15,28","27,19,28,18,14,15","8,57,66,69,70,76,102","27,19,18,14,15,28",6,1,-0.197874936,0.683447281
