cluster,person,loc1,loc2,organize,location,count,match,x,y
1,"1,9,13","15,3,94,98,1","15,33,98","0,37,30,19","15,98",2,0,-0.080910917,0.23890528
2,"1,9,13","15,3,94,98,1","15,78,98","10,37,19,24","15,98",2,0,-0.078701115,0.131921396
3,"1,9,13","15,3,94,98,1","3,5,94","16,19","3,94",2,0,-0.399560663,-0.017391798
4,"1,9,13","15,3,94,98,1","0,15,98","45,19,24,37","15,98",2,0,-0.080485644,0.160041126
5,"1,9,13","15,3,94,98,1","15,84,98","46,19,20","15,98",2,0,-0.005575855,0.199005639
6,"9,13,14","78,15,94,98,1","14,78,98","37,1,19,12,24","78,98",2,0,-0.229764142,0.024976986
7,"9,13,14","78,15,94,98,1","15,33,98","0,37,30,19","15,98",2,0,0.017721257,0.300001936
8,"9,13,14","78,15,94,98,1","15,78,98","10,37,19,24","78,15,98",3,0,-0.08212514,0.157898086
9,"9,13,14","78,15,94,98,1","0,15,98","45,19,24,37","15,98",2,0,-0.011630349,0.212110177
10,"9,13,14","78,15,94,98,1","15,84,98","46,19,20","15,98",2,0,0.070809758,0.249063873
11,"9,13,17","78,91,1,98,76,15,3,70","14,78,98","37,1,19,12,24","78,98",2,0,-0.355610454,0.056152895
12,"9,13,17","78,91,1,98,76,15,3,70","8,57,66,69,70,76,102","27,19,28,18,14,15","76,70",2,0,-0.472767839,-0.355362232
13,"9,13,17","78,91,1,98,76,15,3,70","15,33,98","0,37,30,19","98,15",2,0,-0.140809562,0.31356732
14,"9,13,17","78,91,1,98,76,15,3,70","15,78,98","10,37,19,24","78,98,15",3,0,-0.232514802,0.194544328
15,"9,13,17","78,91,1,98,76,15,3,70","0,15,98","45,19,24,37","98,15",2,0,-0.152341738,0.238500901
16,"9,13,17","78,91,1,98,76,15,3,70","15,84,98","46,19,20","98,15",2,0,-0.073568782,0.259953602
17,"20,36,41,47,48","56,3,38,75","3,38,56,75","35,12","56,3,38,75",4,1,-0.485490634,-0.598182094
18,"1,13,14","95,15,98,94,1","15,33,98","0,37,30,19","15,98",2,0,0.12712768,0.222336384
19,"1,13,14","95,15,98,94,1","15,78,98","10,37,19,24","15,98",2,0,0.069391436,0.129022018
20,"1,13,14","95,15,98,94,1","0,15,98","45,19,24,37","15,98",2,0,0.079598048,0.151137738
21,"1,13,14","95,15,98,94,1","15,84,98","46,19,20","15,98",2,0,0.145780252,0.196500569
22,"23,25,26,43","80,94,74,24,20,18,64,58,65,51,48,6","12,20,24","6,19,40,5,4","24,20",2,0,0.640861516,-0.373897509
23,"6,8,10,42","59,41,90,60,44,28,79","28,41,44,59,60,79,90","8,19,2,44","59,41,90,60,44,28,79",7,1,0.337637704,-0.654878124
24,"6,8,10,42","59,41,90,60,44,28,79","41,74,90","33,2,11,17,24,19","41,90",2,0,0.363797931,-0.581462249
25,"1,35,41","39,34","34,39,94","38,29,22,26,12,19,1","39,34",2,0,-0.116582379,-0.520012367
26,"13,14,46","14,1,94,98,78,89,37,95","14,78,98","37,1,19,12,24","14,98,78",3,0,-0.162184873,-0.03980124
27,"13,14,46","14,1,94,98,78,89,37,95","15,78,98","10,37,19,24","98,78",2,0,-0.043071779,0.071610037
28,"29,31,33","73,74,54,87,62","54,62,73,74,87","9,12,2,25","73,74,54,87,62",5,1,0.251415628,-0.442670363
29,"14,28,45","68,98,15,33,55,4","15,33,98","0,37,30,19","98,15,33",3,0,0.412698836,0.161556559
30,"14,28,45","68,98,15,33,55,4","15,78,98","10,37,19,24","98,15",2,0,0.241757854,0.176422786
31,"14,28,45","68,98,15,33,55,4","0,15,98","45,19,24,37","98,15",2,0,0.260592932,0.202928281
32,"14,28,45","68,98,15,33,55,4","15,84,98","46,19,20","98,15",2,0,0.372155442,0.232675742
33,"24,39,40","69,70,76,66,57,102,8","8,57,66,69,70,76,102","27,19,28,18,14,15","69,70,76,66,57,102,8",7,1,-0.187649605,-0.697175686
