location,lat,lng
2932 University Drive,35.96945082,-78.93541924
Afghanistan,33.7680065,66.2385139
Alder St,53.6536604,-1.781706
Amsterdam,52.3727598,4.8936041
Atlanta,33.7490987,-84.3901849
Boston,42.3602534,-71.0582912
Bowling Green,36.9903199,-86.4436018
Bremerhaven,53.5522264,8.5865509
Bronx,40.8506558,-73.8665241
Buenos Aires,-34.6075682,-58.4370894
Cairo,30.048819,31.243666
California,36.7014631,-118.7559974
Camp George West Military Reservation,39.75166509,-105.1713388
Canada,61.0666922,-107.9917071
Capitol Ave.,41.7635824,-72.6914992
Charlottesville,38.029306,-78.4766781
Chicago,41.8755616,-87.6244212
City Park,47.5148675,19.0843677
Coal Mine Road,46.900394,-114.011151
Colfax Avenue,41.008518,-74.282273
Colorado,38.7251776,-105.6077167
Columbus,39.9622601,-83.0007065
Cuba,23.0131338,-80.8328748
Culver City,34.0211224,-118.3964665
Denver,39.7392364,-104.9848623
Detroit,42.3315509,-83.0466403
Dulles Airport,38.95226625,-77.45342298
Egypt,26.2540493,29.2675469
El Paso,31.7754152,-106.4646348
El Segundo,33.917028,-118.4156337
Europe,51,10
Floyd Ave.,35.2233026,-90.023376
France,46.603354,1.8883335
Georgia,32.3293809,-83.1137366
Germany,51.0834196,10.4234469
Green Bay,44.5126379,-88.0125794
Greenlawn Ave.,40.7531933,-82.5059116
Guantanamo,20.1431797,-75.2034783
Haarlem,52.3885317,4.6388048
Hamburg,53.550341,10.000654
Hezboliah,35.81626058,51.01928062
Houston,29.7589382,-95.3676974
Howell St.,46.881976,-114.000181
Hubbard St.,42.7368575,-87.7806999
Hudspeth County,31.5388627,-105.4752945
Illinois,40.0796606,-89.4337288
Imperial Highway,33.9170947,-118.0774823
Kandahar,30.9910033,65.7068525
Kentucky,37.5726028,-85.1551411
Keswick,54.6009281,-3.137609
Laurel Avenue,40.861512,-82.330446
LAX,33.94216755,-118.421393
Lee Highway,37.1403967,-80.5766793
Little York Rd.,29.8711598,-95.3085365
London,51.5073219,-0.1276474
Los Angeles,34.0536909,-118.2427666
Lublin,51.250559,22.5701022
Manhattan,40.7896239,-73.9598939
Marshall Avenue,44.9483856,-93.2023341
McNary,30.9874128,-92.576251
McRae Blvd,31.79257,-106.355999
Merrifield,38.8742611,-77.2266208
Miami,25.7742658,-80.1936589
Michigan,43.6211955,-84.6824346
Minneapolis,44.9772995,-93.2654692
Minnesota,45.9896587,-94.6113288
Myrtle Ave,40.6969959,-73.9352775
New Jersey,40.0757384,-74.4041622
New Orleans,29.9499323,-90.0701156
New York,40.7127281,-74.0060152
New York City,40.7127281,-74.0060152
North Bergen,40.8042674,-74.012084
O'Hare,41.97310105,-87.90676789
Paddington,51.5170856,-0.1775422
Paris,48.8566969,2.3514616
Poland,52.215933,19.134422
Queens,40.7498243,-73.7976337
Rhinelander Platz.,45.636623,-89.412075
Richmond,37.5385087,-77.43428
Rio Grande,37.5668223,-106.3832155
Rue St. Sebastien,50.6475822,3.0613812
San Gabriel,34.0990733,-118.1085682
Seattle,47.6038321,-122.3300624
Sheldon St.,39.7961386,-86.1328871
Springfield,39.7990175,-89.6439575
Springfield Mall,39.91518385,-75.35176835
Springfield VA,38.7890522,-77.1870368
St. Mary 's Terrace,50.90342555,-1.395397163
St. Mary's Road,46.0832309,-62.6145816
Sudan,14.5844444,29.4917691
Texas,31.8160381,-99.5120986
The Netherlands,52.5001698,5.7480821
Trenton,40.2170575,-74.7429463
Trenton Avenue,41.0700757,-80.6614636
United Arab Emirates,24.0002488,53.9994829
University Drive,22.2825716,114.1369117
US,39.7837304,-100.4458825
Van Dyke Avenue,37.7270029,-122.3886003
Virginia,37.1232245,-78.4927721
Wash. DC,38.285944,-77.671635
Washington,38.89366125,-76.98788325
Washington DC,38.89379365,-76.98799757
Webster Ave.,52.3494424,-1.5670279
Wisconsin,44.4308975,-89.6884637
