country,latitude,longitude,Random,
Slovakia,48.669,19.699,0.266362582,
Bhutan,27.5142,90.4336,0.968205414,
Heard Island and McDonald Islands,-53.08181,73.504158,0.955878528,
Croatia,45.1,15.2,0.224566689,
Somalia,5.152149,46.199616,0.097122352,
Minnesota,46.729553,-94.6859,0.388834216,
Afghanistan,33,65,0.07456265,
Volgograd,48.7086,44.5147,0.23466886,Russia
Angola,-11.202692,17.873887,0.484280981,
Yuzhno-Sakhalinsk,46.95,142.7333,0.334952299,Russia
Poland,51.919438,19.145136,0.551688406,
Sri Lanka,7,81,0.508330467,
Morocco,31.791702,-7.09262,0.867069041,
Micronesia,7.425554,150.550812,0.886429177,
Isle of Man,54.236107,-4.548056,0.569976284,
United Arab Emirates,24,54,0.825575697,
Australia,-31.9505,115.8605,0.306440595,
Kaluga,54.5333,36.2667,0.152978653,Russia
Gabon,-0.803689,11.609444,0.735830802,
Nigeria,9.081999,8.675277,0.481098793,
Seychelles,-4.679574,55.491977,0.449631764,
California,36.778261,-119.417932,0.005070954,
Omsk,54.9667,73.3833,0.371893823,Russia
Lesotho,-29.609988,28.233608,0.074461607,
Togo,8.619543,0.824782,0.654648788,
Congo [DRC],-4.038333,21.758664,0.767370218,
Georgia,42.315407,43.356892,0.742699028,
Egypt,26,30,0.617005726,
Smolensk,54.7828,32.0453,0.143892357,Russia
Mozambique,-18.665695,35.529562,0.428529692,
Murmansk,68.9667,33.0833,0.374870142,Russia
Elista,46.3167,44.2667,0.135842412,Russia
Bangladesh,23.685,90.3563,0.865656828,
Guam,13.444304,144.793731,0.116654623,
Senegal,14.497401,-14.452362,0.28770444,
Maykop,44.6,40.0833,0.077535568,Russia
Florida,27.664827,-81.515754,0.308756166,
Spain,40,-4,0.056809652,
Mauritius,-20.348404,57.552152,0.424149984,
Belarus,53.7098,27.9534,0.739847232,
Antigua and Barbuda,17.060816,-61.796428,0.735792195,
Vatican City,41.902916,12.453389,0.57098059,
Indiana,40.551217,-85.602364,0.016295029,
Jamaica,18.109581,-77.297508,0.58302036,
Vietnam,14.058324,108.277199,0.266469472,
Macedonia [FYROM],41.608635,21.745275,0.907850705,
Niger,17.607789,8.081666,0.931287628,
Rwanda,-1.940278,29.873888,0.323772317,
Australia,-41.4545,145.9707,0.193459172,
Georgia,42.3154,43.3569,0.364234013,
Côte d'Ivoire,7.539989,-5.54708,0.45156648,
Algeria,28.033886,1.659626,0.25284658,
Saint Vincent and the Grenadines,12.984305,-61.287228,0.465145889,
Georgia,32.157435,-82.907123,0.154140834,
Tambov,52.7167,41.4333,0.82844169,Russia
Iceland,64.963051,-19.020835,0.500261355,
Tonga,-21.178986,-175.198242,0.08002703,
Costa Rica,9.748917,-83.753428,0.138757191,
Jordan,31.24,36.51,0.139128241,
Burkina Faso,12.238333,-1.561593,0.572857792,
Anadyr,64.7333,177.5167,0.666618695,Russia
Saint Petersburg,59.95,30.3167,0.731387695,Russia
Israel,31.046051,34.851612,0.207696938,
Sweden,60.128161,18.643501,0.215911883,
Gaza Strip,31.354676,34.308825,0.508034168,
Moldova,47.411631,28.369885,0.7573578,
Lipetsk,52.6167,39.6,0.654749243,Russia
Slovakia,48.669026,19.699024,0.949407239,
Chad,15.454166,18.732207,0.73311611,
Japan,36.204824,138.252924,0.455587157,
Pitcairn Islands,-24.703615,-127.439308,0.108666377,
Cambodia,12.565679,104.990963,0.067461451,
Greece,39.0742,21.8243,0.513450372,
Greece,39.074208,21.824312,0.632522808,
Russia,61.52401,105.318756,0.003478346,
Aruba,12.52111,-69.968338,0.476866944,
Dominica,15.414999,-61.370976,0.92790578,
Guinea,9.945587,-9.696645,0.63824742,
Maldives,3.202778,73.22068,0.251407783,
Khabarovsk,48.4833,135.0667,0.628099999,Russia
Northern Mariana Islands,17.33083,145.38469,0.966385862,
Philippines,12.879721,121.774017,0.004015942,
Syktyvkar,61.6667,50.8167,0.861354101,Russia
South Georgia and the South Sandwich Islands,-54.429579,-36.587909,0.917240071,
Poland,51.9194,19.1451,0.767217164,
Luxembourg,49.815273,6.129583,0.763962609,
Cyprus,35.126413,33.429859,0.740525068,
Bouvet Island,-54.423199,3.413194,0.616037332,
Andorra,42.5063,1.5218,0.469019579,
Fiji,-16.578193,179.414413,0.845440447,
Alabama,32.318231,-86.902298,0.47712683,
Australia,-25.274398,133.775136,0.32075005,
Switzerland,46.818188,8.227512,0.157142844,
Bosnia and Herzegovina,43.915886,17.679076,0.001907839,
Yekaterinburg,56.8356,60.6128,0.360680351,Russia
Central African Republic,6.611111,20.939444,0.491209603,
South Africa,-30.5595,22.9375,0.929531755,
Australia,-12.4634,130.8456,0.713470311,
Swaziland,-26.522503,31.465866,0.782714748,
Peru,-9.189967,-75.015152,0.768396469,
Spain,40.463667,-3.74922,0.458174679,
Grenada,12.262776,-61.604171,0.289449859,
Bulgaria,42.733883,25.48583,0.893348055,
Western Sahara,24.215527,-12.885834,0.375740672,
Tyumen,57.15,65.5333,0.082452925,Russia
Paraguay,-23.442503,-58.443832,0.444497048,
Cameroon,7.369722,12.354722,0.347456322,
Italy,41.87194,12.56738,0.93108203,
Barbados,13.193887,-59.543198,0.304073605,
Albania,41.153332,20.168331,0.7944818,
Niue,-19.054445,-169.867233,0.052227744,
Dominican Republic,18.735693,-70.162651,0.569892971,
Iraq,33,44,0.449941094,
Yoshkar-Ola,56.6328,47.8958,0.830825049,Russia
Wallis and Futuna,-13.768752,-177.156097,0.107397016,
Sierra Leone,8.460555,-11.779889,0.71779217,
Togo,8.6195,0.8248,0.658227432,
Missouri,37.964253,-91.831833,0.023756858,
Hawaii,19.898682,-155.665857,0.198061532,
Singapore,1.2833,103.8333,0.511337286,
