mg,mo,gm,go,om,og
"3,4,20,26,31,37,40,47","0,7,15,16,22,45,47","3,7,8,20,30,31,34,43","6,48","0,2,4,18,19,21,25,31","5,10,13,18,25,30,33,37,39"
"14,24,25,47","8,43","28,47","1,7,10,22,36","14,15,21,30,32,44,45","1,11,38,43,44"
"28,30,31,44","0,2,6,14","27,28,36,45,46,49","13,21,24,25,45","2,15,45,46,48,49","16,28,30,38,44"
"0,7,16,21,22,41","15,27,30,42","0,15,30,45,46,49","8,11,17,36,37","10,22,27,30,33","37,39,42,44"
"13,17,19,25,26,28,30","0,11,14,19,22,28,46","0,38","16,29,36,41,47,49","28,34,38",32
"11,20,21,28,45,48",37,"8,27,40","0,5,6,16,22,23,30,38,43,46","27,28,38,46,47","5,13,29,36,44"
"11,23,32,37,43,44","32,34,36,38,49","10,21,24,25","9,14,36,37,41","2,9,21,37,47","0,5,11,12,26,29,40,41,46,49"
"0,15,20,21,26,37,46","22,40,43,45","3,15,17,24,38","10,11,24","0,29,34","1,49"
"0,5,10,20,22,28,29,33,39","9,13,14,19,39","11,24,31","17,32,48","1,16,17,24,39,43","3,17,26,40,44,45,48"
"16,28,40","6,19,34,39,44","16,22,24,29,35","29,38,48","8,19,22,24,34,36,43,46","6,11,15,16,30,39"
"6,21,24,25,26,30","3,26,36,38,39","8,12,13,15,30,33,46","0,28,34,44,48","17,18,23,26,34,36,45","1,7,11,14,27,31,37,48,49"
"8,47","18,21,40,41,42,47","5,6,24,30,44","1,6,9,10,29,34,43","4,14,18,30,36,47","3,7,25,41"
"10,24,29,42","16,24,31,35,48","16,33,35,42","6,23,46,49","21,24,32",32
"10,27,29,39,42","15,39,48","4,21,35,42","0,5,42,43","8,23,45","2,27,33"
"33,43,48","1,11,32","1,15,26,44,46","10,19,49","2,4,8,29,30,38","6,32,39,46,47"
"3,7,10,14,42","1,2,23,26,30,31,49","7,20,33","9,27,28,36,37,39,46","0,3,13,26","20,24,25,44,49"
"9,12,19,20,21,30,32,33,37,42","8,18,19,43,44,47","3,9,24,25,37","2,9,22,34,44","0,12,22,25,36","4,5,19,23,28"
"7,28,37,39,45","8,10,19,26,27,30,36,49","4,31,33,35,36","8,35,41",33,"3,8,18,22,36,45"
20,"0,10,11,37,48","20,28,31,38,39,45","0,17,30,42,44,48","11,16,19,33,35","20,21,23,28,42"
"25,28,31,38","0,9,18,32,35,41","4,16,26,40,47","16,20,22,33,37","4,8,9,16,17,34,35,44","14,22,25,35,39,41,46"
"0,15,18,23,27,43","31,42,45","0,5,7,8,16,18,23,27,36,43,45","15,18,42,45","34,37,38,47","19,41,48"
"6,13,24,25,33","0,1,6,12,21,33,34","3,5,7,10,16,29,38,42,47,48","18,26,37,47","11,21,43","2,32,41,44"
"9,22,25,27","3,9,16,35","3,8,22,33,35,43","17,19,26,35,40","0,4,7,24,28,42,47","1,5,16,19,38"
"20,24,44,45,47","10,13,30,35","6,20,33,42,46","16,18,24,34,36,42","15,34,42","5,12,31,33,37,46"
"6,7,8,9,11,16,34,45,49","8,9,12,22,26,39,41","1,10,12,21,23,31,39,47","15,36,48","12,29,41","2,7,23"
"6,16,36,38,46,47","0,16,32,41,44,46","1,4,10,19,21,22,34,37,39","0,11,15,19,47",29,"2,44"
"14,19,31","10,15,45","0,4,7,10,42","6,8,33,49","10,15,17,24,40,43,47","21,22,36,39"
"2,5,20,33","3,5,28,36,38,41,45","13,20,22,44","10,13","3,17,28,42","15,36,47"
"1,2,18,33,43","4,5,22,27,28,43,48","2,4,5,8,9,17,19,47,49","2,16,18,28,33,36,41","4,27,28","10,15,28,35,38,39,41"
"9,21","7,14,24,25,38","8,12,13,34,39,42,43,44","5,6,41","32,44,49","4,9,11,37,39,41"
"0,3,10,11","1,3,11,14,30","2,4,10,16,36,41","0,2,9,37,48","3,15,17,23,30,40,47","5,18,31"
"0,8,17,18,24,34,35,38","0,37","0,2,19,26,47","10,23,30,48","12,15,20,34,39,43","32,37,45"
41,"1,12,29,32","6,16,49","4,12,14,21,31,48","6,14,19,25,32,38,40,44,48","8,35,45"
"10,12,15,17,22,23,40","3,17,18,39","8,14,16,21,27,28","0,13,23,38,44",21,"19,26,28,43,45,46,49"
"0,25,29","4,7,9,10,19,20,23,31,46","24,31","34,42","6,9,21,35,47","10,11,16,23,34"
"9,12,13,17,22,44","18,19,34","31,37,38","19,28,32","12,19,22,23,36,39,41,48","17,22,48"
"2,17,20,30,43","9,10,11,16,35,36,48",25,"5,17,26,27","6,10,17,27,36,37,43","1,3,4,6,15,23,24,28,38"
"16,25,35,42","6,20,36,38,39,49","0,6,7,16,17,45","0,3,10,23,29,31","5,18,31","3,6,15,19,21,30,42"
"4,7,18,21,35","4,5,14,20,32,38,46","19,25,31","1,2,22,28,36,48","6,10,27,29,37,38","5,9,33,40"
"18,24,25,29,43","8,31,35,39,43","8,13,17","0,3,9,14,19,26,28,29,48","8,9,10,13,24,33,37,39","15,44,47"
"5,19,40,46","26,30,32,46","0,9,33,40","6,8,38,47","7,11,41,47","22,43"
"30,42,43","24,35,40","3,32","6,11,19,20,21,28,29","11,19,24,25,27","4,6,17,28,29"
"12,13,21,23,26,29,48","22,23,27,45","12,13,15,16,37,41","3,18,37,43,44","3,11,20,48","13,18,20,23,34"
"0,20,22,29,47","8,9,21,26,31,36,45","6,14,20,28,36,39,41,44","1,33,40","1,7,16,28,39","5,11,13,42,46,49"
"11,14,27,29,43,47","1,19,29,32","2,6,23,35","1,2,3,5,8,15,21,25,39,47,48","9,16,25","10,16,18,33,42,46"
"2,3,18,20,37","1,2,10,13,45","5,17,23,24","8,17,31,32,33,47","0,7,20,26,27,42,43,45","2,20"
"2,3,10,14,23","2,5,9","7,25,40","6,14,19,23,33,43,44,46","4,25,34,38,40","5,12,15,46,49"
"1,19,21,24,28,31,48","5,6,11,20,22,26,30,34,40,47,49","0,1,11,23,25,43,44","14,27,39,49","0,11,16,47","4,21,25,40,44,45,48,49"
"21,49","2,32,35,42","5,14,42,47","8,10,20,35,47","12,13,18,28,36","0,8,9,10,18,24,30,31,32,38,39,44"
"2,3,28,32","2,29","24,48","6,7,10,15,33,43,46,47","6,15,17,37,47","4,12,14,26,47"
