cluster,person,list1,list2,organize,map,x,y,perc
1,"1,9,13","15,3,94,98,1","15,33,98","0,37,30,19","15,98",0.333763404,-0.178278576,0.4
2,"1,9,13","15,3,94,98,1","15,78,98","10,37,19,24","15,98",0.341043118,-0.068932742,0.4
3,"1,9,13","15,3,94,98,1","3,5,94","16,19","3,94",0.239969936,-0.424544892,0.4
4,"1,9,13","15,3,94,98,1","0,15,98","45,19,24,37","15,98",0.341229733,-0.08703447,0.4
5,"1,9,13","15,3,94,98,1","15,84,98","46,19,20","15,98",0.27575235,-0.29571357,0.4
6,"9,13,14","78,15,94,98,1","14,78,98","37,1,19,12,24","78,98",0.5,0.237182808,0.4
7,"9,13,14","78,15,94,98,1","15,33,98","0,37,30,19","15,98",0.9,-0.080586822,0.4
8,"9,13,14","78,15,94,98,1","15,78,98","10,37,19,24","78,15,98",0.1,0.151100414,0.6
9,"9,13,14","78,15,94,98,1","0,15,98","45,19,24,37","15,98",0.283405847,0.023386157,0.4
10,"9,13,14","78,15,94,98,1","15,84,98","46,19,20","15,98",0.215294861,-0.228203262,0.4
11,"9,13,17","78,91,1,98,76,15,3,70","14,78,98","37,1,19,12,24","78,98",0.407696253,0.194065721,0.25
12,"9,13,17","78,91,1,98,76,15,3,70","8,57,66,69,70,76,102","27,19,28,18,14,15","76,70",0.066821198,-0.634552267,0.25
13,"9,13,17","78,91,1,98,76,15,3,70","15,33,98","0,37,30,19","98,15",0.368699948,-0.164513349,0.25
14,"9,13,17","78,91,1,98,76,15,3,70","15,78,98","10,37,19,24","78,98,15",0.5,0.10557962,0.375
15,"9,13,17","78,91,1,98,76,15,3,70","0,15,98","45,19,24,37","98,15",0.391981293,-0.041461204,0.25
16,"9,13,17","78,91,1,98,76,15,3,70","15,84,98","46,19,20","98,15",0.9,-0.315904959,0.25
17,"1,13,14","95,15,98,94,1","15,33,98","0,37,30,19","15,98",0.6,-0.09839177,0.4
18,"1,13,14","95,15,98,94,1","15,78,98","10,37,19,24","15,98",0.7,0.035669122,0.4
19,"1,13,14","95,15,98,94,1","0,15,98","45,19,24,37","15,98",0.8,0.009464981,0.4
20,"1,13,14","95,15,98,94,1","15,84,98","46,19,20","15,98",0.158276998,-0.240886765,0.4
21,"23,25,26,43","80,94,74,24,20,18,64,58,65,51,48,6","12,20,24","6,19,40,5,4","24,20",-0.582580467,-0.404974462,0.166666667
22,"6,8,10,42","59,41,90,60,44,28,79","41,74,90","33,2,11,17,24,19","41,90",0.335410171,0.75342272,0.285714286
23,"1,35,41","39,34","34,39,94","38,29,22,26,12,19,1","39,34",-0.284547715,-0.319615854,0.666666667
24,"13,14,46","14,1,94,98,78,89,37,95","14,78,98","37,1,19,12,24","14,98,78",0.149106556,0.395514028,0.375
25,"13,14,46","14,1,94,98,78,89,37,95","15,78,98","10,37,19,24","98,78",0.225819034,0.322688331,0.25
26,"29,31,33","73,74,54,87,62","54,62,73,74,87","9,12,2,25","73,74,54,87,62",-0.434981619,0.49301213,1
27,"14,28,45","68,98,15,33,55,4","15,78,98","10,37,19,24","98,15",0.089826343,0.112714881,0.333333333
28,"14,28,45","68,98,15,33,55,4","0,15,98","45,19,24,37","98,15",0.08388326,0.088302597,0.333333333
29,"14,28,45","68,98,15,33,55,4","15,84,98","46,19,20","98,15",-0.009031522,-0.148415736,0.333333333
30,"1,9","1,9,13","1,9,14","12,19","15,3,94,98,1",0.230791996,-0.184032022,0.666666667
31,"1,9","1,9,13","1,9,27,37","38,12","15,3,94,98,1",0.341345975,-0.14877903,0.5
32,"9,14","9,13,14","1,9,14","12,19","78,15,94,98,1",0.85,0.1,0.666666667
33,"13,14","9,13,14","13,14,46","1,24,12","78,15,94,98,1",0.271411617,0.364071185,0.666666667
34,"1,14","1,13,14","1,9,14","12,19","95,15,98,94,1",0.120335546,-0.013970686,0.666666667
35,"13,14","1,13,14","13,14,46","1,24,12","95,15,98,94,1",0.288713616,0.35001539,0.666666667
36,"6,8,10,42","6,8,10,42","6,8,10,42","8,19,2,44","59,41,90,60,44,28,79",-0.687063488,0.065833117,1
37,"13,14,46","13,14,46","13,14,46","1,24,12","14,1,94,98,78,89,37,95",0.8,0.495343882,1
38,"14,28,45","14,28,45","14,28,45","0,19,24,37,30","68,98,15,33,55,4",-0.118902635,0.17280339,1
39,"24,39,40","24,39,40","24,39,40","27,19,18,14,15,28","69,70,76,66,57,102,8",-0.330330918,-0.673021897,1
40,"1,9,14","12,19","37,1,19,12,24","12,19","14,78,98",0.067659609,0.056416553,0.4
41,"1,9,14","12,19","38,29,22,26,12,19,1","12,19","34,39,94",0.089843076,-0.134653001,0.285714286
42,"13,14,46","1,24,12","37,1,19,12,24","1,24,12","14,78,98",0.169489469,0.480608687,0.6
43,"13,14,46","1,24,12","38,29,22,26,12,19,1","1,12","34,39,94",0.189518554,0.325982528,0.285714286
44,"20,36,41,47,48","35,12","35,12","35,12","3,38,56,75",-0.238302894,-0.002624007,1
45,"6,8,10,42","8,19,2,44","43,19,2,42","19,2","16,35,45,70,72,103",0.638348266,-0.173929375,0.5
46,"6,8,10,42","8,19,2,44","33,2,11,17,24,19","19,2","41,74,90",0.9,0.012810166,0.333333333
47,"1,9,27,37","38,12","38,29,22,26,12,19,1","38,12","34,39,94",0.196215819,-0.158423172,0.285714286
48,"1,16,28","20,19","46,19,20","20,19","15,84,98",-0.085568286,-0.365616518,0.666666667
49,"14,28,45","0,19,24,37,30","37,1,19,12,24","19,24,37","14,78,98",-0.021485703,0.338569988,0.6
50,"14,28,45","0,19,24,37,30","0,37,30,19","0,19,37,30","15,33,98",-0.034353133,0.025856291,0.8
51,"14,28,45","0,19,24,37,30","10,37,19,24","19,24,37","15,78,98",0.023893447,0.426439546,0.6
52,"14,28,45","0,19,24,37,30","33,2,11,17,24,19","19,24","41,74,90",-0.347994277,0.261730596,0.333333333
