cluster,person,organize,x,y
1,"13,21,37","8,30",0.783266622,1.185541528
2,"5,39,47","7,23",0.965026151,1.551495653
3,"5,11,25","6,20",0.70388381,0.310882112
4,"2,7,11","48,21",1.968934334,0.019862545
5,"3,26,32","47,43",-0.073261797,-0.409072433
6,"19,28,42","43,45",-0.414093248,1.566021718
7,"20,38,40","42,40",0.006329616,1.399763261
8,"13,27,43","4,27",0.224061048,0.221567159
9,"13,21,25","39,30",1.434654698,-0.462661745
10,"14,15,31","36,16",1.531234157,-0.339158224
11,"10,13,19","30,45",0.353711209,1.705398044
12,"17,22,38","26,49",1.706464111,0.216169866
13,"9,27,48","15,27",0.647420295,1.001169906
14,"5,19,48","12,15",0.531297325,1.975670832
