cluster,organize,person,x,y
1,"29,27","10,21,47",1.478321178,0.081237186
2,"5,22","1,6,13",1.807493418,1.341712644
3,"43,4","9,14,44",-0.003355209,1.999538216
4,"13,41","26,45,47",0.11530888,0.113349828
5,"14,41","24,27,47",0.95995305,0.83546745
6,"45,24","17,21,40",-0.192219628,-0.323772261
7,"3,24","1,40,45",1.586462671,1.260242629
8,"31,40","0,5,35,43",1.3702806,1.051500681
9,"6,27","9,13,27",0.525429289,0.028142867
10,"24,41","26,27,40,45",-0.24463201,0.040944895
11,"48,47","25,39,48",0.789329518,1.209226753
12,"48,40","1,30,35",0.700910737,1.48765282
13,"12,47","27,39,41",1.81562751,-0.406344985
14,"12,9","27,41,45",-0.097307565,0.793950145
15,"9,41","24,27,45",-0.130055851,1.014234287
16,"9,40","2,23,35",1.801084676,-0.280397476
