,cluster,person,organize,x,y
1,1,"10,27,34,36,40,49","5,43",1.970266286,0.373274094
2,2,"10,27,34,46,47,49","5,16",-0.257685897,0.213404601
3,3,"2,5,7,10,20,29,36","47,43",-0.266467225,0.334963444
4,4,"5,6,31,34,44,47","4,49",1.663778639,1.465936767
5,5,"1,5,7,21,25,34,36,40","3,43",0.392002539,0.211635853
6,6,"20,23,29,35,45,47","27,20",1.935628775,1.762732186
7,7,"7,21,23,27,41,44,46","26,16",0.51773687,0.795990356
8,8,"2,5,18,20,27,29,43","22,43",0.34965375,0.379821809
9,9,"2,12,20,23,29,47","20,47",-0.38224679,0.829383028
10,10,"7,10,20,23,37,46,47","16,47",1.282591436,-0.368903059
11,11,"7,10,20,21,27,34,49","16,43",0.221036018,1.919705613
