cluster,map,person,x,y
1,"6,16,19","6,1",0.938969325,1.012634282
2,"5,29,38","46,8",0.358290986,0.723825644
3,"22,36,43,49","44,28",1.471906988,-0.175803277
4,"22,32,49","44,20",-0.056471497,1.851713058
5,"18,37,46","43,18",0.108676985,0.909973714
6,"20,36,43","40,28",0.299428562,1.509309527
7,"4,8,19,29","4,1",1.894719625,0.126061656
8,"24,32,36","34,40,44",1.61163841,0.889719132
9,"4,6,16","24,1",1.526463021,1.347514655
10,"22,35,49","20,28",0.127696417,-0.382636996
11,"23,30,35","20,12",1.36622079,0.408150852
12,"22,35,37","18,28",0.891884855,-0.134962077
13,"22,35,46","18,20",0.722190275,1.231610347
14,"4,19,42","17,4",1.729667733,-0.459633914
15,"0,17,29","16,1",1.125673669,1.104437929
16,"5,38,46","15,8",-0.331370988,0.657335171
17,"6,19,37,41","14,6",1.277673706,0.624347563
18,"8,28,35","11,4",-0.373151514,-0.466846965
