cluster,map,organize,x,y
1,"2,19,27,45","45,19",0.560147095,-0.260348118
2,"32,45,47","34,4",0.797200509,1.099304466
3,"3,11,14,45","10,6",1.277265961,-0.425445759
4,"7,31,45","10,19",0.416073838,1.607417293
5,"3,7,8","10,9",0.709761176,-0.40176016
6,"32,38,39","29,25",1.987343481,0.955800896
7,"44,45,47","4,13",1.54082641,-0.362449138
8,"14,34,38","1,26",1.023428578,1.396114267
9,"9,26,39","46,29",2.158604182,0.823539561
10,"3,14,15","21,6",1.769993233,0.416899377
11,"3,36,48","21,9",1.232148914,0.617414286
12,"3,14,31","21,10",0.097241557,1.300997377
13,"20,22,44","16,26",-0.419606563,-0.239956869
