cluster,organize,map,x,y
1,"36,38,49","6,37",1.005218433,0.709623458
2,"8,26,36","43,17",1.683458703,1.897431641
3,"4,20,46","38,34",1.058388968,0.889199693
4,"6,20,49","37,47",0.278365142,1.613693133
5,"1,29,32","32,44",-0.02683948,0.83340311
6,"0,32,41","25,19",0.030873673,0.742652816
7,"8,9,26","24,43",-0.261294541,1.808001135
8,"9,16,35","22,36",1.451838595,0.379652714
9,"10,11,48","18,36",0.087194591,1.176950932
10,"26,30,49","15,17,47",0.794295946,-0.23926459
11,"16,35,48","12,36",0.471353962,0.444971957
12,"36,38,39","10,37",0.987000588,1.327070193
13,"3,36,38","10,27",0.330614876,1.104838221
