,cluster,organize,map,x,y
1,1,"7,13,19,22,25,44","7,34",1.788852467,0.291186992
2,2,"7,13,16,22,25,42","7,23",1.804966802,0.565432739
3,3,"6,11,18,34,35,46,48","5,42",1.018675497,0.778129197
4,4,"3,6,22,35,37,46","46,42",0.732483223,1.322476868
5,5,"2,13,18,21,26,42","39,32",1.435822129,1.909444856
6,6,"7,13,22,25,31,45","34,23",1.514525883,1.451397882
7,7,"7,11,13,22,31,43,49","31,34",0.946205686,0.332455651
8,8,"7,12,20,33,42,45","25,23",0.172942995,-0.158681263
9,9,"8,11,17,22,23,41","16,1",1.970718768,-0.408695028
10,10,"4,8,11,22,37,41","1,42",0.146152658,1.849569612
