location,lat,lng,label
2932 University Drive,35.96945082,-78.93541924,2932 University Drive
Afghanistan,33.7680065,66.2385139,Afghanistan
Alder St,53.6536604,-1.781706,Alder St
Amsterdam,52.3727598,4.8936041,Amsterdam
Atlanta,33.7490987,-84.3901849,Atlanta
Boston,42.3602534,-71.0582912,Boston
Bowling Green,36.9903199,-86.4436018,Bowling Green
Bremerhaven,53.5522264,8.5865509,Bremerhaven
Bronx,40.8506558,-73.8665241,Bronx
Buenos Aires,-34.6075682,-58.4370894,Buenos Aires
Cairo,30.048819,31.243666,Cairo
California,36.7014631,-118.7559974,California
Camp George West Military Reservation,39.75166509,-105.1713388,Camp George West Military Reservation
Canada,61.0666922,-107.9917071,Canada
Capitol Ave.,41.7635824,-72.6914992,Capitol Ave.
Charlottesville,38.029306,-78.4766781,Charlottesville
Chicago,41.8755616,-87.6244212,Chicago
City Park,47.5148675,19.0843677,City Park
Coal Mine Road,46.900394,-114.011151,Coal Mine Road
Colfax Avenue,41.008518,-74.282273,Colfax Avenue
Colorado,38.7251776,-105.6077167,Colorado
Columbus,39.9622601,-83.0007065,Columbus
Cuba,23.0131338,-80.8328748,Cuba
Culver City,34.0211224,-118.3964665,Culver City
Denver,39.7392364,-104.9848623,Denver
Detroit,42.3315509,-83.0466403,Detroit
Dulles Airport,38.95226625,-77.45342298,Dulles Airport
Egypt,26.2540493,29.2675469,Egypt
El Paso,31.7754152,-106.4646348,El Paso
El Segundo,33.917028,-118.4156337,El Segundo
Europe,51,10,Europe
Floyd Ave.,35.2233026,-90.023376,Floyd Ave.
France,46.603354,1.8883335,France
Georgia,32.3293809,-83.1137366,Georgia
Germany,51.0834196,10.4234469,Germany
Green Bay,44.5126379,-88.0125794,Green Bay
Greenlawn Ave.,40.7531933,-82.5059116,Greenlawn Ave.
Guantanamo,20.1431797,-75.2034783,Guantanamo
Haarlem,52.3885317,4.6388048,Haarlem
Hamburg,53.550341,10.000654,Hamburg
Hezboliah,35.81626058,51.01928062,Hezboliah
Houston,29.7589382,-95.3676974,Houston
Howell St.,46.881976,-114.000181,Howell St.
Hubbard St.,42.7368575,-87.7806999,Hubbard St.
Hudspeth County,31.5388627,-105.4752945,Hudspeth County
Illinois,40.0796606,-89.4337288,Illinois
Imperial Highway,33.9170947,-118.0774823,Imperial Highway
Kandahar,30.9910033,65.7068525,Kandahar
Kentucky,37.5726028,-85.1551411,Kentucky
Keswick,54.6009281,-3.137609,Keswick
Laurel Avenue,40.861512,-82.330446,Laurel Avenue
LAX,33.94216755,-118.421393,LAX
Lee Highway,37.1403967,-80.5766793,Lee Highway
Little York Rd.,29.8711598,-95.3085365,Little York Rd.
London,51.5073219,-0.1276474,London
Los Angeles,34.0536909,-118.2427666,Los Angeles
Lublin,51.250559,22.5701022,Lublin
Manhattan,40.7896239,-73.9598939,Manhattan
Marshall Avenue,44.9483856,-93.2023341,Marshall Avenue
McNary,30.9874128,-92.576251,McNary
McRae Blvd,31.79257,-106.355999,McRae Blvd
Merrifield,38.8742611,-77.2266208,Merrifield
Miami,25.7742658,-80.1936589,Miami
Michigan,43.6211955,-84.6824346,Michigan
Minneapolis,44.9772995,-93.2654692,Minneapolis
Minnesota,45.9896587,-94.6113288,Minnesota
Myrtle Ave,40.6969959,-73.9352775,Myrtle Ave
New Jersey,40.0757384,-74.4041622,New Jersey
New Orleans,29.9499323,-90.0701156,New Orleans
New York,40.7127281,-74.0060152,New York
New York City,40.7127281,-74.0060152,New York City
North Bergen,40.8042674,-74.012084,North Bergen
O'Hare,41.97310105,-87.90676789,O'Hare
Paddington,51.5170856,-0.1775422,Paddington
Paris,48.8566969,2.3514616,Paris
Poland,52.215933,19.134422,Poland
Queens,40.7498243,-73.7976337,Queens
Rhinelander Platz.,45.636623,-89.412075,Rhinelander Platz.
Richmond,37.5385087,-77.43428,Richmond
Rio Grande,37.5668223,-106.3832155,Rio Grande
Rue St. Sebastien,50.6475822,3.0613812,Rue St. Sebastien
San Gabriel,34.0990733,-118.1085682,San Gabriel
Seattle,47.6038321,-122.3300624,Seattle
Sheldon St.,39.7961386,-86.1328871,Sheldon St.
Springfield,39.7990175,-89.6439575,Springfield
Springfield Mall,39.91518385,-75.35176835,Springfield Mall
Springfield VA,38.7890522,-77.1870368,Springfield VA
St. Mary 's Terrace,50.90342555,-1.395397163,St. Mary 's Terrace
St. Mary's Road,46.0832309,-62.6145816,St. Mary's Road
Sudan,14.5844444,29.4917691,Sudan
Texas,31.8160381,-99.5120986,Texas
The Netherlands,52.5001698,5.7480821,The Netherlands
Trenton,40.2170575,-74.7429463,Trenton
Trenton Avenue,41.0700757,-80.6614636,Trenton Avenue
United Arab Emirates,24.0002488,53.9994829,United Arab Emirates
University Drive,22.2825716,114.1369117,University Drive
US,39.7837304,-100.4458825,US
Van Dyke Avenue,37.7270029,-122.3886003,Van Dyke Avenue
Virginia,37.1232245,-78.4927721,Virginia
Wash. DC,38.285944,-77.671635,Wash. DC
Washington,38.89366125,-76.98788325,Washington
Washington DC,38.89379365,-76.98799757,Washington DC
Webster Ave.,52.3494424,-1.5670279,Webster Ave.
Wisconsin,44.4308975,-89.6884637,Wisconsin
