location,label,lat,lng
2932 University Drive,Jijel,36.7179681,5.9832577
Afghanistan,Strumica Municipality,41.4378004,22.6427428
Alder St,MaÄva District,44.5925314,19.5082246
Amsterdam,Ghazni,33.5450587,68.4173972
Atlanta,Lucerne,47.0795671,8.1662445
Boston,Adilâ€™-Khalk,44.35,41.9167
Bowling Green,Ivanovka,51.7183,55.1882
Bremerhaven,Slyudyanka,51.6594,103.7061
Bronx,Orada Chugli,42.4939,47.2236
Buenos Aires,Samdrup Jongkhar District,26.8035682,91.5039207
Cairo,Santo Domingo de los TsÃ¡chilas,-0.2521882,-79.1879383
California,Baja California,30.8406338,-115.2837585
Camp George West Military Reservation,North Kazakhstan Region,54.1622066,69.9387071
Canada,Santa LuÄ‹ija,35.856142,14.50436
Capitol Ave.,Buzovyazy,54.2917,55.8167
Charlottesville,Yelshanka,51.8139,46.3997
Chicago,Lesosibirsk,58.2333,92.4833
City Park,È˜tefan VodÄƒ District,46.5540488,29.702242
Coal Mine Road,Staryye Turbasly,54.9439,56.1236
Colfax Avenue,Teplice,50.6584605,13.7513227
Colorado,Davao Occidental,6.0941396,125.6095474
Columbus,Zhukovskiy,55.6011,38.1161
Cuba,Qom Province,34.6415764,50.8746035
Culver City,Bavaria,48.7904472,11.4978895
Denver,Fakel,57.635,53.025
Detroit,Pytâ€™-Yakh,60.75,72.7833
Dulles Airport,Cauca,2.7049813,-76.8259652
Egypt,Zhemchug,51.6889,102.4586
El Paso,Mbeya,-8.2866112,32.8132537
El Segundo,Tetovo Municipality,42.027486,20.9506636
Europe,Luganskoye,51.1694,45.6653
Floyd Ave.,Krasnyy Kut,50.95,46.9667
France,Yangon Region,16.9143488,96.1526985
Georgia,Murashi,59.3833,48.9667
Germany,Nsanje District,-16.7288202,35.1708741
Green Bay,Puebla,19.0414398,-98.2062727
Greenlawn Ave.,Indre,46.811755,0.9755523
Guantanamo,Zamboanga Peninsula,8.154077,123.258793
Haarlem,Zomba District,-15.3765857,35.3356518
Hamburg,Karnali Zone,29.3862555,82.3885783
Hezboliah,Carriacou and Petite Martinique,12.4785888,-61.4493842
Houston,"Praha, HlavnÃ­ mÄ›sto",50.0755381,14.4378005
Howell St.,Krasnoufimsk,56.6167,57.7667
Hubbard St.,Usolye,59.4167,56.6833
Hudspeth County,Izberbash,42.5667,47.8667
Illinois,Chuadanga District,23.6160512,88.8263006
Imperial Highway,Tarrafal de SÃ£o Nicolau,16.5636498,-24.354942
Kandahar,HodoÅ¡ Municipality,46.8314134,16.321068
Kentucky,Terek,43.4833,44.1333
Keswick,Å entjur Municipality,46.2654339,15.408
Laurel Avenue,Kyshtym,55.7139,60.5528
LAX,Kursk,51.7372,36.1872
Lee Highway,Sumqayit,40.5854765,49.6317411
Little York Rd.,Podunavlje District,44.4729156,20.9901426
London,Province of Fermo,43.0931367,13.5899733
Los Angeles,Porto,41.1476629,-8.6078973
Lublin,Mirna Municipality,45.9515647,15.0620977
Manhattan,Protvino,54.8667,37.2167
Marshall Avenue,Northern Region,9.5439269,-0.9056623
McNary,Pomeroon-Supenaam,7.1294166,-58.9206295
McRae Blvd,Talitsa,57.0125,63.7292
Merrifield,Colombo District,6.9269557,79.8617306
Miami,Gazipur District,24.0958171,90.4125181
Michigan,Alba,44.7009153,8.0356911
Minneapolis,Krivodanovka,55.0914,82.6489
Minnesota,Nelson Region,-41.2985397,173.2441491
Myrtle Ave,Middlesbrough,54.574227,-1.234956
New Jersey,Mokhotlong District,-29.2573193,28.9528645
New Orleans,Monchegorsk,67.9394,32.9156
New York,Starokucherganovka,46.325,47.9581
New York City,Donskoy,53.9667,38.3167
North Bergen,Psykod,43.5969,43.9969
O'Hare,Horjul Municipality,46.0225378,14.2986269
Paddington,ParaÃ­ba,-7.2399609,-36.7819505
Paris,Belaya Kalitva,48.1667,40.7833
Poland,Turan,52.15,93.9167
Queens,UsulutÃ¡n Department,13.4470634,-88.556531
Rhinelander Platz.,Niuas,-15.9594,-173.783
Richmond,Mwanza District,-2.4671197,32.8986812
Rio Grande,Mongala,1.9962324,21.4752851
Rue St. Sebastien,Akwa Ibom,4.9057371,7.8536675
San Gabriel,Sudzha,51.1907,35.2708
Seattle,Sefrou,33.8305244,-4.8353154
Sheldon St.,Delaware,38.910832,-75.52767
Springfield,EstelÃ­,13.0851139,-86.3630197
Springfield Mall,Ijuw District,-0.5202767,166.9571046
Springfield VA,Zabaykalsky Krai,53.0928771,116.9676561
St. Mary 's Terrace,Serres Prefecture,41.0863854,23.5483819
St. Mary's Road,Gornyak,51,81.4667
Sudan,Bandarban District,21.8311002,92.3686321
Texas,Bzhedugkhabl,44.9767,39.7069
The Netherlands,Luxembourg District,49.5953706,6.1333178
Trenton,Altud,43.7181,43.8722
Trenton Avenue,Glembochino,56.1876,28.3785
United Arab Emirates,Tana River,-1.6518468,39.6518165
University Drive,Krasnyy Yar,54.8916,55.9192
