id,label,lat,lng,location
1,Abakan,53.7167,91.4167,2932 University Drive
2,Akimiski Island,52.997486,-81.319298,Afghanistan
3,Alaska,63.588753,-154.493062,Alder St
4,Alberta,55,-115,Amsterdam
5,Andorra,42.546245,1.601554,Marshall Avenue
6,Maldives,3.202778,73.22068,Boston
7,Arkhangelsk,64.55,40.5333,Bowling Green
8,Aruba,12.52111,-69.968338,Bremerhaven
9,Australia,-28.0167,153.4,Bronx
10,Baffin Island,66.830925,-69.6008,Buenos Aires
11,Bangladesh,23.684994,90.356331,Cairo
12,Barnaul,53.3567,83.7872,California
13,Belarus,53.7098,27.9534,Camp George West Military Reservation
14,Belgium,50.503887,4.469936,Canada
15,Belgorod,50.6,36.6,Capitol Ave.
16,Benoy,42.9774,46.3094,Charlottesville
17,Berdyuzhye,55.8042,68.3,Chicago
18,Birobidzhan,48.7833,132.9333,City Park
19,Brazil,-14.235,-51.9253,Coal Mine Road
20,British Columbia,53.726669,-127.647621,Colfax Avenue
21,Brunei,4.5353,114.7277,Colorado
22,California,36.778261,-119.417932,Columbus
23,Canada,52.9399,-73.5491,Cuba
24,Cayman Islands,19.513469,-80.566956,Culver City
25,Cheboksary,56.1333,47.25,Denver
26,Chile,-35.6751,-71.543,Detroit
27,Cocos [Keeling] Islands,-12.164165,96.870956,Dulles Airport
28,Cornwallis Island,75.073013,-94.669189,Egypt
29,Croatia,45.1,15.2,El Paso
30,Djibouti,11.825138,42.590275,El Segundo
31,Dominica,15.414999,-61.370976,Europe
32,Dominican Republic,18.7357,-70.1627,Floyd Ave.
33,Dubovka,49.05,44.8333,France
34,Ecuador,-1.831239,-78.183406,Georgia
35,El Salvador,13.794185,-88.89653,Germany
36,Morocco,31.791702,-7.09262,Green Bay
37,Equatorial Guinea,1.650801,10.267895,Greenlawn Ave.
38,Eritrea,15.179384,39.782334,Guantanamo
39,Fiji,-16.578193,175.414413,Haarlem
40,Finland,61.92411,25.748151,Hamburg
41,Florida,27.664827,-81.515754,Hezboliah
42,Germany,51.165691,10.451526,Houston
43,Ghana,7.946527,-1.023194,Howell St.
44,Mongolia,46.862496,103.846656,Howell St.
45,Greece,39.074208,21.824312,Hudspeth County
46,Guinea-Bissau,11.803749,-15.180413,Illinois
47,Hawaii,19.898682,-155.665857,Imperial Highway
48,Heard Island and McDonald Islands,-53.08181,73.504158,Kandahar
49,Iceland,64.9631,-19.0208,Kentucky
50,Illinois,40.633125,-89.398528,Keswick
51,Irkutsk,52.2833,104.3,Laurel Avenue
52,Israel,31,35,LAX
53,Japan,36,138,Lee Highway
54,Jersey,49.214439,-2.13125,Little York Rd.
55,Kazakhstan,48.019573,66.923684,London
56,Kiribati,-3.370417,-168.734039,Los Angeles
57,Kuwait,29.5,47.75,Lublin
58,Laos,19.85627,102.495496,Manhattan
59,Liechtenstein,47.14,9.55,Marshall Avenue
60,Luza,60.6167,47.2833,McNary
61,Maarmorilik,71.1264,-51.2778,McRae Blvd
62,Macau,22.198745,113.543873,Merrifield
63,Madagascar,-18.766947,46.869107,Miami
64,Maine,45.253783,-69.445469,Michigan
65,Malaysia,2.5,112.5,Minneapolis
66,Maldives,3.202778,73.22068,Minnesota
67,Mali,17.570692,-3.996166,Myrtle Ave
68,Malta,35.937496,14.375416,New Jersey
69,Marshall Islands,7.131474,171.184478,New Orleans
70,Maryland,39.045755,-76.641271,New York
71,Massachusetts,42.407211,-71.382437,New York City
72,Mauritania,21.00789,-10.940835,North Bergen
73,Mexico,23.634501,-102.552784,O'Hare
74,Minnesota,46.729553,-94.6859,Paddington
75,Mississippi,32.354668,-89.398528,Paris
76,Monaco,43.750298,7.412841,Poland
77,Mongolia,46.862496,103.846656,Queens
78,Montana,46.879682,-110.362566,Rhinelander Platz.
79,Montana,46.879682,-110.362566,Richmond
80,Morocco,31.7917,-7.0926,Rio Grande
81,Murmansk,68.9667,33.0833,Rue St. Sebastien
82,Myanmar [Burma],21.913965,95.956223,San Gabriel
83,Narsaq,60.9122,-46.0486,Seattle
