location,label,lat,lng
2932 University Drive,Alaska,63.588753,-154.493062
Afghanistan,Japan,36.204824,138.252924
Alder St,Cuba,21.521757,-77.781167
Amsterdam,Moldova,47.411631,28.369885
Atlanta,Perm,58.0139,56.2489
Boston,Congo [Republic],-0.228021,15.827659
Bowling Green,Chad,15.454166,18.732207
Bremerhaven,Lithuania,60.169438,23.881275
Bronx,Iceland,64.9631,-19.0208
Buenos Aires,Azerbaijan,40.1431,47.5769
Cairo,Réunion,-21.115141,55.536384
California,Samoa,-13.759029,-172.104629
Camp George West Military Reservation,Pennsylvania,44.203322,-77.194525
Canada,Belize,17.189877,-88.49765
Capitol Ave.,Magas,43.1667,44.8167
Charlottesville,Ghana,7.946527,-1.023194
Chicago,Namibia,-22.95764,18.49041
City Park,Slovakia,48.669026,19.699024
Coal Mine Road,Bulgaria,42.733883,25.48583
Colfax Avenue,Delaware,38.910832,-75.52767
Colorado,Sri Lanka,7,81
Columbus,Krasnodar,45.0333,38.9833
Cuba,Oman,21.512583,55.923255
Culver City,Slovenia,46.1512,14.9955
Denver,Macau,22.198745,113.543873
Detroit,Canada,53.9333,-116.5765
Dulles Airport,Wisconsin,43.78444,-88.787868
Egypt,Belgorod,50.6,36.6
El Paso,Iraq,33,44
El Segundo,India,21,78
Europe,Lebanon,33.8547,35.8623
Floyd Ave.,Guam,13.444304,144.793731
France,Latvia,56.8796,24.6032
Georgia,Ecuador,-1.8312,-78.1834
Germany,Nepal,28.394857,84.124008
Green Bay,Saint Helena,-24.143474,-10.030696
Greenlawn Ave.,Cambodia,11.55,104.9167
Guantanamo,Belgium,50.503887,4.469936
Haarlem,Australia,-28.0167,153.4
Hamburg,North Macedonia,41.6086,21.7453
Hezboliah,Equatorial Guinea,1.650801,10.267895
Houston,Nebraska,41.492537,-99.901813
Howell St.,Belgium,50.8333,4
Hubbard St.,Gorno-Altaysk,51.96,85.96
Hudspeth County,Andorra,42.5063,1.5218
Illinois,Nevada,38.80261,-116.419389
Imperial Highway,Portugal,39.399872,-8.224454
Kandahar,Monaco,43.7333,7.4167
Kentucky,Mississippi,32.354668,-89.398528
Keswick,Saint Kitts and Nevis,17.357822,-62.782998
Laurel Avenue,Montenegro,42.708678,19.37439
LAX,Canada,56.130366,-106.346771
Lee Highway,Antigua and Barbuda,17.060816,-61.796428
Little York Rd.,Norway,60.472024,8.468946
London,Ireland,53.1424,-7.6921
Los Angeles,Montserrat,16.742498,-62.187366
Lublin,Elista,46.3167,44.2667
Manhattan,Georgia,42.3154,43.3569
Marshall Avenue,Cheboksary,56.1333,47.25
McNary,Khanty-Mansiysk,61,69
McRae Blvd,Myanmar [Burma],21.913965,95.956223
Merrifield,Brunei,4.5353,114.7277
Miami,Sudan,12.862807,30.217636
Michigan,Lithuania,45.1694,23.8813
Minneapolis,Anadyr,64.7333,177.5167
Minnesota,Nar’yan-Mar,67.6378,53.0067
Myrtle Ave,Connecticut,41.603221,-73.087749
New Jersey,Brazil,-14.235004,-51.92528
New Orleans,Netherlands,52.132633,5.291266
New York,Guadeloupe,16.995971,-62.067641
New York City,Serbia,44.016521,21.005859
North Bergen,Togo,8.6195,0.8248
O'Hare,Rwanda,-1.940278,29.873888
Paddington,Vatican City,41.902916,12.453389
Paris,U.S. Virgin Islands,18.335765,-64.896335
Poland,Switzerland,46.818188,8.227512
Queens,Colombia,4.5709,-74.2973
Rhinelander Platz.,Egypt,26.820553,30.802498
Richmond,Gibraltar,36.137741,-5.345374
Rio Grande,France,46.227638,2.213749
Rue St. Sebastien,Liberia,6.428055,-9.429499
San Gabriel,Georgia,42.315407,43.356892
Seattle,Fiji,-16.578193,179.414413
Sheldon St.,Bryansk,53.25,34.3667
Springfield,Martinique,14.6415,-61.0242
Springfield Mall,Tver,56.8578,35.9219
Springfield VA,Krasnoyarsk,56.0167,92.8667
St. Mary 's Terrace,Thailand,15.870032,100.992541
St. Mary's Road,Gaza Strip,31.354676,34.308825
Sudan,Falkland Islands [Islas Malvinas],-51.796253,-59.523613
Texas,Kansas,39.011902,-98.484246
The Netherlands,Syria,34.802075,38.996815
Trenton,Poland,51.9194,19.1451
Trenton Avenue,Czech Republic,49.817492,15.472962
United Arab Emirates,Massachusetts,42.407211,-71.382437
University Drive,Romania,45.943161,24.96676
US,Libya,26.3351,17.228331
