Label,docId,Value,organize
Fca Fiat Chrysler Automobiles,fbi8,9,U-haul
Adp,fbi4,9,First Union Bank
Medtronic,fbi20,9,Virginia National Bank
Abbott,fbi8,9,United Connector
Chevron,fbi3,9,United
Roche,fbi4,9,Empire State Vending Services
American Express,fbi10,9,New York Stock Exchange
Samsung Electronics,cia4,9,University of Virginia
Metro Train Station,cia5,9,City Computer Services Corp.
Thomson Reuters,fbi21,9,Clark &amp; Co
Ministerio De Educaciã³N,"fbi12,fbi10",9,Office Supplies Co.
Avon,fbi23,9,Select Gourmet Foods
Nifty Travel,fbi10,9,First Union National Bank
Cvs Health,fbi11,9,Pyramid Bank of Cairo
Halliburton,fbi19,9,Central Bank of Dubai
Atos,fbi7,9,Sealink Container Corp.
Pcs Informatica,fbi10,9,Al Qaeda
Ge Healthcare,cia10,9,Taliban
Bullet Train Station,cia7,9,Marvel Corporation
Healthy Travel,cia5,9,German Intelligence
United Train Station,cia4,9,American Diplomatic Mission Headquarters
Banco Santander,cia3,9,British Special Branch
Scotiabank,fbi2,9,M15
Dxc Technology,fbi1,9,Sprint
Johnson Travel,cia7,9,US Post Office
Posteamos.Com,cia5,9,INS
Allstate,cia4,9,Bush Intercontinental Airport
Petrobras,cia3,9,Continental Airlines
Credit Suisse,fbi2,9,Reagan National Airport
Telefã³Nica,cia5,9,The Powhatan Company
Marriott International,fbi21,9,Pentagon
Axa,"fbi12,fbi10",9,Home Depot
3M Health Care,fbi23,9,American Airlines
Standard Chartered Bank,fbi10,9,Border Patrol
Xerox,fbi11,9,University of Texas
Cbre,fbi19,9,Apex Paper Products Company
Nyc Department Of Education,fbi7,9,Aryan Nations
Goldman Sachs,fbi10,9,Army CID
Fidelity Investments,cia10,9,Ryder Truck Rental
Icici Bank,cia7,9,Budget Storage Units
Exxonmobil,cia5,9,Beth Israel
T-Mobile,cia4,9,Coast Guard
Aon,cia3,9,Passport Agency
Royal Bank Of Scotland,fbi2,9,AMTRAK
Astrazeneca,fbi1,9,Penn Station NYC
Nike,cia7,9,U-haul
Basf,cia5,9,First Union Bank
Hdfc Bank,cia4,9,Virginia National Bank
Best Buy,cia3,9,United Connector
American Airlines,fbi2,9,United
